Datum, Temperatur, Feuchte
2 9 8:3:26 2022,21.30,44.00,
2 9 8:3:31 2022,21.30,44.00,
2 9 8:3:36 2022,21.30,44.00,
2 9 8:3:41 2022,21.30,44.00,
2 9 8:3:46 2022,21.30,44.00,
2 9 8:3:51 2022,21.30,44.00,
2 9 8:3:56 2022,21.40,43.00,
2 9 8:4:1 2022,21.40,43.00,
2 9 8:4:6 2022,21.40,43.00,
2 9 8:4:11 2022,21.40,43.00,
2 9 8:4:16 2022,21.40,43.00,
2 9 8:4:21 2022,21.50,43.00,
2 9 8:4:26 2022,21.50,43.00,
2 9 8:4:31 2022,21.40,43.00,
2 9 8:4:36 2022,21.50,43.00,
2 9 8:4:41 2022,21.50,43.00,
2 9 8:4:46 2022,21.50,43.00,
2 9 8:4:51 2022,21.60,43.00,
2 9 8:4:56 2022,21.50,43.00,
2 9 8:5:2 2022,21.50,43.00,
2 9 8:5:7 2022,21.60,43.00,
2 9 8:5:12 2022,21.60,43.00,
2 9 8:5:17 2022,21.60,43.00,
2 9 8:5:22 2022,21.60,43.00,
2 9 8:5:27 2022,21.60,43.00,
2 9 8:5:32 2022,21.60,43.00,
2 9 8:5:37 2022,21.60,44.00,
2 9 8:5:42 2022,21.70,44.00,
2 9 8:5:47 2022,21.70,44.00,
2 9 8:5:52 2022,21.70,43.00,
2 9 8:5:57 2022,21.70,43.00,
2 9 8:6:2 2022,21.80,43.00,
2 9 8:6:7 2022,21.80,43.00,
2 9 8:6:12 2022,21.80,42.00,
2 9 8:6:17 2022,21.80,42.00,
2 9 8:16:52 2022,21.50,42.00,
2 9 8:16:57 2022,21.40,43.00,
2 9 8:17:2 2022,21.50,42.00,
2 9 8:17:8 2022,21.60,41.00,
2 9 8:17:13 2022,21.60,41.00,
2 9 8:17:18 2022,21.70,41.00,
2 9 8:17:23 2022,21.70,40.00,
2 9 8:17:28 2022,21.70,40.00,
2 9 8:17:33 2022,21.80,40.00,
2 9 8:17:38 2022,21.80,40.00,
2 9 8:17:43 2022,21.80,40.00,
2 9 8:17:48 2022,21.80,40.00,
2 9 8:17:53 2022,21.80,40.00,
2 9 8:17:58 2022,21.80,39.00,
2 9 8:18:3 2022,21.80,39.00,
2 9 8:18:8 2022,21.90,39.00,
2 9 8:18:13 2022,21.90,39.00,
2 9 8:18:18 2022,21.90,39.00,
2 9 8:18:23 2022,21.90,39.00,
2 9 8:18:28 2022,22.00,40.00,
2 9 8:18:33 2022,22.00,40.00,
2 9 8:18:38 2022,22.00,40.00,
2 9 8:18:43 2022,22.10,40.00,
2 9 8:18:48 2022,22.10,40.00,
2 9 8:18:53 2022,22.10,39.00,
2 9 8:18:58 2022,22.10,39.00,
2 9 8:19:4 2022,22.10,39.00,
2 9 8:19:9 2022,22.20,39.00,
